x1,y1,x2,y2,x3,y3
1493.2784556017627,39.33147288910272,149008335101.40594,11996899782.090902,148672011766.50598,12172596285.67771
1519.8134592942822,40.39386919956153,148999590730.43756,12103799178.97766,148661565667.92368,12276157371.542812
1546.5817562346308,41.47522062499567,148990769301.81012,12210692548.511866,148651074553.48737,12379695797.140375
1573.583333145668,42.575694518716546,148981870817.91232,12317579831.808388,148640538588.19708,12483211823.660368
1600.8181766302384,43.69545822500858,148972895281.2118,12424460969.96348,148629957933.8812,12586705714.050745
1628.2862731711791,44.83467907904327,148963842694.25528,12531335904.055258,148619332749.17377,12690177732.982134
1655.9876091313229,45.99352440679323,148954713059.66907,12638204575.144156,148608663189.49228,12793628146.812136
1683.9221707535055,47.17216152494626,148945506380.15915,12745066924.273401,148597949407.016,12897057223.54922
1712.0899441605704,48.37075774081944,148936222658.51144,12851922892.4695,148587191550.66455,13000465232.816254
1740.4909153553756,49.58948035227315,148926861897.5922,12958772420.742704,148576389766.07712,13103852445.813646
1769.1250702207983,50.82849664762517,148917424100.34808,13065615450.087513,148565544195.59198,13207219135.282124
1797.9923945197418,52.08797390556479,148907909269.80655,13172451921.483152,148554654978.22675,13310565575.465153
1827.0928738951407,53.36807939506683,148898317409.07602,13279281775.894073,148543722249.65866,13413892042.070992
1856.426493869967,54.668980375305814,148888648521.3461,13386104954.270452,148532746142.2059,13517198812.234415
1885.993239847237,55.99084409557001,148878902609.8878,13492921397.548695,148521726784.809,13620486164.47808
1915.793097110016,57.333837795175555,148869079678.0538,13599731046.651941,148510664303.01294,13723754378.673584
1945.8260508214262,58.69812870338056,148859179729.27866,13706533842.490576,148499558818.94974,13827003736.002167
1976.0920860246515,60.08388403929923,148849202767.07898,13813329725.962748,148488410451.32147,13930234518.915138
2006.5911876429445,61.49127101181596,148839148795.05362,13920118637.95489,148477219315.384,14033447011.093971
2037.3233404796329,62.92045681949952,148829017816.8839,14026900519.342234,148465985522.9311,14136641497.410107
2068.288529218126,64.37160865051712,148818809836.33377,14133675310.989344,148454709182.27908,14239818263.884481
2099.4867384219206,65.84489368254859,148808524857.25,14240442953.750643,148443390398.25217,14342977597.646757
2130.917952534609,67.34047908270048,148798162883.56235,14347203388.47095,148432029272.16824,14446119786.894304
2162.5821558798843,68.85853200742028,148787723919.28378,14453956555.986004,148420625901.8253,14549245120.850908
2194.4793326615472,70.39921960241048,148777207968.51053,14560702397.123022,148409180381.48825,14652353889.725245
2226.609466963514,71.96270900254284,148766615035.42227,14667440852.701223,148397692801.8767,14755446384.669096
2258.972542749822,73.54916733177245,148755945124.28235,14774171863.532385,148386163250.1528,14858522897.735361
2291.568543864637,75.15876170305195,148745198239.43784,14880895370.421385,148374591809.9101,14961583721.835836
2324.3974540322606,76.79165921824573,148734374385.31964,14987611314.166756,148362978561.16284,15064629150.698784
2357.459256857137,78.44802696804406,148723473566.44272,15094319635.561232,148351323580.33575,15167659478.826323
2390.75393582386,80.12803203187731,148712495787.40613,15201020275.392307,148339626940.25473,15270675001.451612
2424.2814742971796,81.83184147783015,148701441052.8931,15307713174.442793,148327888710.13773,15373676014.495886
2458.041855522011,83.55962236255574,148690309367.67126,15414398273.491375,148316108955.58667,15476662814.525301
2492.0350626234394,85.31154173118992,148679100736.59262,15521075513.313177,148304287738.57968,15579635698.70765
2526.2610786067303,87.08776661726544,148667815164.59363,15627744834.680317,148292425117.46414,15682594964.76893
2560.719886357334,88.8884640426262,148656452656.69534,15734406178.362478,148280521146.95016,15785540910.949785
2595.4114686408957,90.71380101734138,148645013218.00348,15841059485.12747,148268575878.1049,15888473835.961826
2630.3358081032607,92.56394453961981,148633496853.70847,15947704695.741796,148256589358.3473,15991394038.943857
2665.492887270483,94.4390615957241,148621903569.08542,16054341750.971224,148244561631.4437,16094301819.418005
2700.882688548835,96.33931915988491,148610233369.4943,16160970591.58135,148232492737.50394,16197197477.245764
2736.5051942248115,98.2648841942152,148598486260.37988,16267591158.338173,148220382712.978,16300081312.583982
2772.3603864651395,100.21592364862447,148586662247.27182,16374203392.00866,148208231590.65347,16402953625.840784
2808.4482473167873,102.19260446073305,148574761335.78467,16480807233.361322,148196039399.6537,16505814717.631453
2844.7687587069704,104.19509355578634,148562783531.61786,16587402623.166784,148183806165.43625,16608664888.734285
2881.32190244316,106.22355784656908,148550728840.55573,16693989502.198355,148171531909.79248,16711504440.046427
2918.1076602130915,108.27816423331961,148538597268.4675,16800567811.232595,148159216650.8473,16814333672.53969
2955.126013584773,110.35907960364423,148526388821.3073,16907137491.049898,148146860403.05994,16917152887.216394
2992.376944006492,112.46647083243137,148514103505.1142,17013698482.435053,148134463177.22513,17019962385.065218
3029.8604328068263,114.60050478176595,148501741326.01202,17120250726.17782,148122024980.47507,17122762467.017084
3067.576461194649,116.76134830084371,148489302290.2094,17226794163.073498,148109545816.28195,17225553433.90108
3105.5250102591394,118.94916822588546,148476786403.99985,17333328733.923496,148097025684.4612,17328335586.400448
3143.7060609697905,121.16413138005142,148464193673.76147,17439854379.5359,148084464581.17532,17431109225.008636
3182.1195941764186,123.40640457335552,148451524105.95712,17546371040.72604,148071862498.93823,17533874649.98543
3220.7655906091695,125.67615460257971,148438777707.13422,17652878658.317062,148059219426.62064,17636632161.313187
3259.6440308785304,127.97354825118838,148425954483.9247,17759377173.14049,148046535349.4556,17739382058.65315
3298.7548954753356,130.29875228924254,148413054443.04498,17865866526.03679,148033810249.045,17842124641.301918
3338.0981647707777,132.65193347331436,148400077591.2958,17972346657.855923,148021044103.36667,17944860208.14802
3377.673819016415,135.0332585464013,148387023935.56213,18078817509.457924,148008236886.7818,18047589057.62865
3417.4818383441807,137.44289423784062,148373893482.81314,18185279021.713444,147995388570.0435,18150311487.686523
3457.522202766392,139.88100726322367,148360686240.10202,18291731135.504322,147982499120.30548,18253027795.726933
3497.7948921757593,142.3477643243103,148347402214.5659,18398173791.724125,147969568501.13184,18355738278.574986
3538.2998863453954,144.84333210894323,148334041413.42563,18504606931.2787,147956596672.5069,18458443232.432995
3579.037164928825,147.36787729096235,148320603843.98578,18611030495.086742,147943583590.84622,18561142952.838116
3620.0067074599924,149.9215665301192,148307089513.63443,18717444424.080315,147930529209.00784,18663837734.62016
3661.208493353273,152.50456647199127,148293498429.843,18823848659.20542,147917433476.30423,18766527871.85966
3702.64250190348,155.1170437478965,148279830600.16608,18930243141.42252,147904296338.51486,18869213657.84616
3744.3087122858774,157.7591649748076,148266086032.24136,19036627811.707077,147891117737.89935,18971895385.036755
3786.2071035561867,160.43109675526642,148252264733.78943,19143002611.050106,147877897613.2112,19074573345.014877
3828.3376546505974,163.13300567729854,148238366712.6135,19249367480.458687,147864635899.71216,19177247828.449383
3870.7003443857766,165.86505831432748,148224391976.59927,19355722360.9565,147851332529.18698,19279919125.053886
3913.295151458879,168.62742122508928,148210340533.7148,19462067193.58435,147837987429.9589,19382587523.5464
3956.122054447556,171.42026095354683,148196212392.01028,19568401919.400696,147824600526.90573,19485253311.609264
3999.1810318099656,174.24374402880437,148182007559.6177,19674726479.482143,147811171741.47635,19587916775.84942
4042.472061884784,177.09803696502192,148167726044.75085,19781040814.92399,147797700991.7078,19690578201.758953
4085.9951228912137,179.9833062613297,148153367855.70496,19887344866.840702,147784188192.24283,19793237873.676018
4129.750192928993,182.89971840174255,148138933000.85645,19993638576.366455,147770633254.34827,19895896074.74606
4173.73724997841,185.84743985507455,148124421488.6628,20099921884.655605,147757036085.9335,19998553086.883423
4217.956271900306,188.82663707485332,148109833327.6623,20206194732.88319,147743396591.56982,20101209190.733288
4262.407236436093,191.8374764992346,148095168526.47363,20312457062.245434,147729714672.51,20203864665.634003
4307.090121207759,194.8801245509167,148080427093.7959,20418708813.960224,147715990226.7086,20306519789.579758
4352.004903717881,197.95474763705482,148065609038.40814,20524949929.267593,147702223148.84253,20409174839.18369
4397.151561349633,201.06151214917588,148050714369.16916,20631180349.430202,147688413330.3323,20511830089.641335
4442.530071366801,204.20058446309275,148035743095.0172,20737400015.733814,147674560659.3637,20614485814.694504
4488.140410913788,207.37213093881883,148020695224.96985,20843608869.487747,147660665020.90973,20717142286.595573
4533.982557015629,210.57631792048255,148005570768.12347,20949806852.025356,147646726296.75323,20819799776.072178
4580.056486577999,213.81331173624193,147990369733.65314,21055993904.704475,147632744365.50995,20922458552.292328
4626.362176387223,217.08327869819905,147975092130.8123,21162169968.90788,147618719102.65176,21025118882.829964
4672.8996031102915,220.38638510231462,147959737968.93237,21268334986.04372,147604650380.53067,21127781033.63095
4719.668743294867,223.72279722832246,147944307257.42264,21374488897.545986,147590538068.40298,21230445268.979496
4766.669573369297,227.0926813396441,147928800005.76968,21480631644.874912,147576382032.45392,21333111851.465046
4813.902069642623,230.49620368330324,147913216223.53738,21586763169.51743,147562182135.82272,21435781041.94961
4861.366208304595,233.93353048984042,147897555920.3663,21692883412.987583,147547938238.62808,21538453099.53558
4909.061965425678,237.40482797322747,147881819105.9736,21798992316.826958,147533650197.9938,21641128281.533962
4956.989316957068,240.9102623307821,147866005790.15253,21905089822.60507,147519317868.07513,21743806843.43314
5005.1482387307005,244.44999974308257,147850115982.77222,22011175871.919796,147504941100.0851,21846489038.868076
5053.538706459263,248.02420637388212,147834149693.77728,22117250406.39777,147490519742.32147,21949175119.590004
5102.1606957362055,251.63304837002363,147818106933.1876,22223313367.694763,147476053640.19373,22051865335.43662
5151.014182035751,255.2766918613542,147801987711.09772,22329364697.49609,147461542636.2508,22154559934.302727
5200.099140712911,258.9553029606397,147785792037.6768,22435404337.51699,147446986570.2087,22257259162.11142
5249.415547003492,262.66904776347945,147769519923.1681,22541432229.502995,147432385278.97864,22359963262.78573
5298.96337602411,266.41809234822074,147753171377.88864,22647448315.230305,147417738596.69537,22462672478.220776
5348.742602772204,270.2026027758736,147736746412.22888,22753452536.506153,147403046354.7459,22565387048.25644
5398.753202126044,274.02274509002507,147720245036.65237,22859444835.16916,147388308381.7983,22668107210.650517
5448.995148844745,277.87868531675434,147703667261.69528,22965425153.089687,147373524503.83093,22770833201.05239
5499.468417568278,281.77058946454684,147687013097.96625,23071393432.170197,147358694544.16183,22873565252.977215
5550.172982817482,285.6986235242094,147670282556.14578,23177349614.345566,147343818323.47833,22976303597.780598
5601.108818994079,289.66295346878434,147653475646.98602,23283293641.583435,147328895659.8669,23079048464.633816
5652.275900380681,293.6637452534647,147636592381.31033,23389225455.88454,147313926368.84326,23181800080.499523
5703.674201140807,297.70116481550843,147619632770.01294,23495144999.28302,147298910263.3825,23284558670.10799
5755.303695318889,301.77537807415325,147602596824.0585,23601052213.846737,147283847153.9497,23387324455.93385
5807.164356840294,305.88655093053126,147585484554.4818,23706947041.67758,147268736848.5304,23490097658.17336
5859.2561595113275,310.03484926758375,147568295972.3874,23812829424.911785,147253579152.66147,23592878494.722187
5911.579077019248,314.2204389499757,147551031088.94904,23918699305.720196,147238373869.46204,23695667181.153698
5964.133082932284,318.4434858240106,147533689915.4095,24024556626.30858,147223120799.66452,23798463930.69778
6016.918150699642,322.70415571754506,147516272463.08002,24130401328.917904,147207819741.64594,23901268954.220158
6069.934253651519,327.0026144399035,147498778743.34015,24236233355.82462,147192470491.4591,24004082460.202236
6123.181364999117,331.33902778179294,147481208767.6371,24342052649.340908,147177072842.86423,24106904654.72147
6176.6594578346585,335.71356151521775,147463562547.4854,24447859151.81497,147161626587.36038,24209735741.432213
6230.368505131391,340.1263813933941,147445840094.46677,24553652805.631256,147146131514.2172,24312575921.547108
6284.3084797436095,344.577653150665,147428041420.2293,24659433553.21075,147130587410.5066,24415425393.818962
6338.4793544066615,349.0675425024149,147410166536.48743,24765201337.011196,147114994061.13455,24518284354.52315
6392.881101736966,353.5962151449843,147392215455.0213,24870956099.527332,147099351248.873,24621152997.440517
6447.513694232024,358.1638367555848,147374188187.6765,24976697783.291126,147083658754.3917,24724031513.840755
6502.377104270429,362.77057299221354,147356084746.36365,25082426330.87201,147067916356.29028,24826920092.466328
6557.471304111887,367.4165894935682,147337905143.05786,25188141684.877094,147052123831.1302,24929818919.516853
6612.796265897222,372.10205187896156,147319649389.79858,25293843787.95138,147036280953.4667,25032728178.634
6668.351961648395,376.82712574823637,147301317498.68903,25399532582.777973,147020387495.881,25135648050.886856
6724.1383632685165,381.5919766816802,147282909481.8958,25505208012.07828,147004443229.01224,25238578714.757812
6780.155442541855,386.39677023994005,147264425351.6486,25610870018.61221,146988447921.58942,25341520346.1289
6836.4031711338575,391.24167196393734,147245865120.23962,25716518545.178352,146972401340.46368,25444473118.268616
6892.881520591159,396.12684737478247,147227228800.02335,25822153534.614178,146956303250.64014,25547437201.819252
6949.590462341597,401.0524619736899,147208516403.41608,25927774929.796215,146940153415.3099,25650412764.78464
7006.529967694226,406.0186812418927,147189727942.89554,26033382673.64021,146923951595.88205,25753399972.518417
7063.7000078393285,411.02567064055745,147170863431.00043,26138976709.1013,146907697552.01547,25856398987.712727
7121.100553848434,416.0735956106992,147151922880.33017,26244556979.17418,146891391041.6508,25959409970.38737
7178.731576674328,421.1626215730962,147132906303.5443,26350123426.893253,146875031821.04208,26062433077.879444
7236.593047151066,426.2929139282046,147113813713.36234,26455675995.33279,146858619644.78873,26165468464.833374
7294.6849359939915,431.46463805607345,147094645122.5631,26561214627.607063,146842154265.86685,26268516283.19146
7353.007213799749,436.67795931625966,147075400543.98462,26666739266.870487,146825635435.6611,26371576682.18479
7411.559851046293,441.9330430477426,147056079990.52344,26772249856.317753,146809062903.99594,26474649808.32464
7470.342818092911,447.2300545688392,147036683475.13446,26877746339.18397,146792436419.16718,26577735805.39425
7529.356085180228,452.5691591771185,147017211010.8304,26983228658.744778,146775755727.97314,26680834814.44108
7588.599622430228,457.9505221493169,146997662610.68158,27088696758.316463,146759020575.7459,26783946973.76942
7648.073399846267,463.3743087412528,146978038287.8153,27194150581.256077,146742230706.38223,26887072418.933483
7707.777387313087,468.8406841877416,146958338055.41568,27299590070.96155,146725385862.37463,26990211282.730812
7767.711554596827,474.3498137025107,146938561926.72314,27405015170.871788,146708485784.84213,27093363695.196163
7827.8758713450425,479.901862478114,146918709915.03406,27510425824.46677,146691530213.56085,27196529783.595734
7888.270307086718,485.49699568584737,146898782033.70038,27615821975.267654,146674518886.9946,27299709672.421806
7948.894831232283,491.13537847566306,146878778296.12927,27721203566.83685,146657451542.3253,27402903483.38774
8009.749413073624,496.817175976085,146858698715.7827,27826570542.778122,146640327915.4831,27506111335.42337
8070.834021784103,502.5425532941236,146838543306.17715,27931922846.736652,146623147741.17657,27609333344.67074
8132.148626418568,508.31167551519053,146818312080.88306,28037260422.399136,146605910752.92255,27712569624.480213
8193.693195913373,514.124707703014,146798005053.5247,28142583213.49383,146588616683.07584,27815820285.406944
8255.467699086386,519.9818148995536,146777622237.77954,28247891163.79065,146571265262.8589,27919085435.20768
8317.472104637016,525.883162124915,146757163647.37817,28353184217.1012,146553856222.3912,28022365178.837906
8379.706381146214,531.8289143772653,146736629296.1037,28458462317.278854,146536389290.71848,28125659618.449333
8442.170497076497,537.8192366327476,146716019197.79144,28563725408.21881,146518864195.84174,28228968853.38771
8504.864420771959,543.8542938453965,146695333366.3287,28668973433.85814,146501280664.7462,28332292980.19094
8567.788120458294,549.9342509470528,146674571815.65424,28774206338.175816,146483638423.4298,28435632092.587543
8630.941564242798,556.0592728472783,146653734559.75797,28879424065.192787,146465937196.93198,28538986281.49539
8694.324720114397,562.2295244332713,146632821612.68066,28984626558.972008,146448176709.36166,28642355635.02077
8757.937555943658,568.4451705697812,146611832988.51355,29089813763.618465,146430356683.9255,28745740238.457706
8821.7800394828,574.7063760990238,146590768701.39798,29194985623.279213,146412476842.9558,28849140174.287617
8885.852138365715,581.013305840596,146569628765.5251,29300142082.143414,146394536907.93817,28952555522.1792
8950.15382010799,587.3661245913912,146548413195.13538,29405283084.44235,146376536599.53888,29055986358.988632
9014.685052106903,593.7649971255144,146527122004.51852,29510408574.44945,146358475637.63235,29159432758.76001
9079.445801641457,600.2100881941966,146505755208.01294,29615518496.48033,146340353741.32812,29262894792.72605
9144.436035872393,606.7015625257108,146484312820.00537,29720612794.892773,146322170628.99768,29366372529.30907
9209.655721842197,613.2395848252862,146462794854.93073,29825691414.08676,146303926018.30115,29469866034.12217
9275.104826475123,619.824319775024,146441201327.2717,29930754298.504498,146285619626.21368,29573375369.970684
9340.783316577208,626.4559320338119,146419532251.55832,30035801392.630394,146267251169.0518,29676900596.853867
9406.691158836291,633.1345862372397,146397787642.36777,30140832640.991085,146248820362.49915,29780441771.96679
